Name,Company,Category,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
Traffic Run!: Driving Game,"Geisha Tokyo, Inc.",Action,"May 20, 2022",90.0,"100,000,000+",2.0.4,5.0 and up,EveryoneLearn more,,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Geisha Tokyo, Inc.",
Sniper 3D：Gun Shooting Games,Fun Games For Free,Action,"May 18, 2022",139.0,"500,000,000+",3.45.3,4.4 and up,"Mature 17+Drug Reference, Violence, BloodLearn more",Digital Purchases,$0.99 - $119.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Fun Games For Free,
Hair Challenge,Rollic Games,Action,"May 20, 2022",57.0,"100,000,000+",8.5.5,4.4 and up,EveryoneLearn more,,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rollic Games,
Outdo.io 3D,VOODOO,Action,"May 18, 2022",105.0,"100,000+",1.9,4.4 and up,EveryoneLearn more,,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,VOODOO,
Sandwich Runner,株式会社ドワンゴ,Action,"May 20, 2022",95.0,"10,000,000+",0.3.13,5.0 and up,Everyone 10+Crude HumorLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,株式会社ドワンゴ,
Destiny Run,VOODOO,Action,"May 20, 2022",154.0,"50,000,000+",2.2.1,4.4 and up,EveryoneLearn more,,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,VOODOO,
Balloon Crusher: Shoot’em all,KAYAC Inc.,Action,"May 18, 2022",54.0,"10,000,000+",1.1.6,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,KAYAC Inc.,
Impostors vs Zombies: Survival,Great Arcade Games,Action,"May 19, 2022",90.0,"500,000+",1.1.3,5.1 and up,"TeenViolence, BloodLearn more",,$0.99 - $20.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Great Arcade Games,
Crossy Road,HIPSTER WHALE,Action,"January 27, 2022",84.0,"100,000,000+",4.10.0,5.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $29.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,HIPSTER WHALE,
Blob Hero,Rollic Games,Action,"May 18, 2022",96.0,"1,000,000+",0.5.4,6.0 and up,"Everyone 10+Fantasy Violence, Mild BloodLearn more",,$0.99 - $19.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rollic Games,
Stealth Master: Assassin Ninja,SayGames Ltd,Action,"May 18, 2022",121.0,"10,000,000+",1.11.1,5.0 and up,"Everyone 10+Fantasy Violence, Mild BloodLearn more",,$0.99 - $16.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SayGames Ltd,
Draw Creatures,tatsumaki games,Action,"May 18, 2022",93.0,"50,000+",0.5.1,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,tatsumaki games,
Talking Tom Hero Dash,Outfit7 Limited,Action,"April 13, 2022",133.0,"100,000,000+",3.3.0.3291,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Outfit7 Limited,
Helicopter Escape 3D,SayGames Ltd,Action,"May 12, 2022",115.0,"10,000,000+",1.11.3,5.0 and up,"Everyone 10+Fantasy Violence, Mild BloodLearn more",In-Game Purchases,$2.99 - $24.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SayGames Ltd,
Talking Tom Gold Run,Outfit7 Limited,Action,"April 5, 2022",116.0,"100,000,000+",5.8.1.1281,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Outfit7 Limited,
Stickman Warriors - Super Dragon Shadow Fight,SkySoft Studio,Action,"December 16, 2020",89.0,"50,000,000+",1.3.4,4.4 and up,Everyone 10+Fantasy ViolenceLearn more,,$0.99 - $29.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SkySoft Studio,
Bazooka Boy,Supersonic Studios LTD,Action,"May 17, 2022",105.0,"10,000,000+",1.12.0,5.0 and up,"TeenViolence, BloodLearn more",In-Game Purchases,$2.99 - $4.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Supersonic Studios LTD,
aquapark.io,VOODOO,Action,"May 16, 2022",101.0,"100,000,000+",4.5.8,4.4 and up,Everyone 10+Fantasy ViolenceLearn more,In-Game Purchases,$0.99 - $3.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,VOODOO,
Sonic the Hedgehog™ Classic,SEGA,Action,"October 22, 2021",68.0,"10,000,000+",3.7.0,5.0 and up,EveryoneLearn more,Digital Purchases,$1.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SEGA,
Tomb of the Mask,Playgendary Limited,Action,"May 16, 2022",76.0,"100,000,000+",1.10.2,5.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Playgendary Limited,
Smashers io: Scary Playtime,Rocket Game Studio,Action,"May 20, 2022",101.0,"5,000,000+",1.0.8,5.0 and up,"TeenViolence, BloodLearn more",In-Game Purchases,$1.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rocket Game Studio,
DRAGON BALL LEGENDS,Bandai Namco Entertainment Inc.,Action,"May 20, 2022",115.0,"10,000,000+",4.3.0,6.0 and up,"TeenViolence, BloodLearn more",Digital Purchases,$0.99 - $79.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Bandai Namco Entertainment Inc.,
Grand Theft Auto: San Andreas,Rockstar Games,Action,"April 13, 2019",15.0,"1,000,000+",2.00,7.0 and up,"Mature 17+Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of DrugsLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Rockstar Games,"Eligible if bought after 7/2/2016.
Learn More"
DraStic DS Emulator,Exophase,Action,"April 24, 2020",15.0,"1,000,000+",r2.5.2.2a,4.1 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Exophase,"Eligible if bought after 7/2/2016.
Learn More"
Ultimate Custom Night,Clickteam USA LLC,Action,"May 16, 2020",151.0,"500,000+",1.0.3,6.0 and up,TeenFantasy ViolenceLearn more,In-Game Purchases,$4.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Clickteam USA LLC,"Eligible if bought after 7/2/2016.
Learn More"
Grand Theft Auto III,Rockstar Games,Action,"June 10, 2019",12.0,"1,000,000+",1.8,7.0 and up,"Mature 17+Drug Reference, Intense Violence, Blood, Sexual Content, LanguageLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Rockstar Games,"Eligible if bought after 7/2/2016.
Learn More"
Five Nights at Freddy's 4,Clickteam USA LLC,Action,"May 17, 2022",52.0,"500,000+",2.0.1,5.0 and up,TeenFantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Clickteam USA LLC,"Eligible if bought after 7/2/2016.
Learn More"
Five Nights at Freddy's: SL,Clickteam USA LLC,Action,"April 6, 2020",3.6,"500,000+",2.0.1,5.0 and up,TeenFantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Clickteam USA LLC,"Eligible if bought after 7/2/2016.
Learn More"
Five Nights at Freddy's 3,Clickteam USA LLC,Action,"April 11, 2022",60.0,"500,000+",2.0.1,5.0 and up,TeenFantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Clickteam USA LLC,"Eligible if bought after 7/2/2016.
Learn More"
Castlevania: SotN,KONAMI,Action,"September 25, 2020",8.0,"100,000+",1.0.1,4.4 and up,"TeenBlood and Gore, ViolenceLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,KONAMI,"Eligible if bought after 7/2/2016.
Learn More"
LEGO® Star Wars™:  TCS,Warner Bros. International Enterprises,Action,"February 15, 2022",7.7,"100,000+",2.0.0.8,4.2 and up,"Everyone 10+Fantasy Violence, Crude HumorLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Warner Bros. International Enterprises,Learn More
Dungeon Defense,GameCoaster,Action,"April 22, 2022",25.0,"1,000,000+",1.93.03,4.1 and up,Everyone 10+Fantasy ViolenceLearn more,,$0.99 - $84.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,GameCoaster,Learn More
PPSSPP Gold - PSP emulator,Henrik Rydgård,Action,"October 18, 2021",16.0,"100,000+",1.12.3,2.3 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Henrik Rydgård,Learn More
The Sun: Origin,AGaming+,Action,"April 9, 2022",Varies with device,"1,000,000+",2.1.8,4.4 and up,"TeenViolence, BloodLearn more",Digital Purchases,$0.49 - $19.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,AGaming+,"Eligible if bought after 7/2/2016.
Learn More"
Zombieville USA 2,Mika Mobile,Action,"June 24, 2016",65.0,"50,000+",1.6.1,4.1 and up,"TeenViolence, BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Mika Mobile,"Eligible if bought after 7/2/2016.
Learn More"
Door Kickers: Action Squad,KillHouse Games,Action,"January 22, 2022",60.0,"100,000+",1.2.1,4.1 and up,"TeenViolence, BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,KillHouse Games,"Eligible if bought after 7/2/2016.
Learn More"
Teen Titans GO Figure!,Cartoon Network,Action,"December 9, 2020",49.0,"100,000+",1.1.10,5.1 and up,Everyone 10+Fantasy ViolenceLearn more,,$0.99 - $9.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Cartoon Network,"Eligible if bought after 7/2/2016.
Learn More"
Shadow of Death: Dark Knight,Bravestars Games,Action,"April 4, 2022",175.0,"10,000,000+",1.101.1.2,5.0 and up,"TeenViolence, BloodLearn more",Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Bravestars Games,"Eligible if bought after 7/2/2016.
Learn More"
Shadow Fight 2 Special Edition,NEKKI,Action,"August 19, 2020",110.0,"500,000+",1.0.10,4.1 and up,TeenViolenceLearn more,Digital Purchases,$0.99 - $49.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,NEKKI,"Eligible if bought after 7/2/2016.
Learn More"
Dungeon Shooter : Dark Temple,IMCrazy,Action,"January 18, 2022",51.0,"1,000,000+",1.5.4,4.4 and up,"TeenViolence, BloodLearn more",In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,IMCrazy,Learn More
Real Steel,Reliance Big Entertainment (UK) Private Limited,Action,"March 30, 2022",56.0,"500,000+",1.84.70,4.1 and up,Everyone 10+Fantasy ViolenceLearn more,"Users Interact, Shares Info, Digital Purchases",$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Reliance Big Entertainment (UK) Private Limited,"Eligible if bought after 7/2/2016.
Learn More"
DOOM II,Bethesda Softworks LLC,Action,"September 2, 2020",37.0,"50,000+",1.0.8.209,8.0 and up,"Mature 17+Violence, Blood and GoreLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Bethesda Softworks LLC,"Eligible if bought after 7/2/2016.
Learn More"
Pascal's Wager,Giant Global,Action,"December 7, 2021",71.0,"100,000+",1.1.1,5.0 and up,"TeenViolence, BloodLearn more",In-Game Purchases,$0.99 - $2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Giant Global,"Eligible if bought after 7/2/2016.
Learn More"
Haunt the House: Terrortown,SFB Games,Action,"December 28, 2018",58.0,"50,000+",1.4.31,4.0.3 and up,Everyone 10+Fantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,SFB Games,Learn More
East Front,Thorium Game Lab,Action,"April 26, 2020",17.0,"10,000+",0.53,4.1 and up,"TeenViolence, BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Thorium Game Lab,"Eligible if bought after 7/2/2016.
Learn More"
SpongeBob SquarePants BfBB,HandyGames,Action,"May 2, 2022",40.0,"50,000+",1.2.8,8.0 and up,"EveryoneMild Fantasy Violence, Comic MischiefLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,HandyGames,"Eligible if bought after 7/2/2016.
Learn More"
Slaughter 3: The Rebels,Ray Spark,Action,"December 13, 2019",34.0,"100,000+",1.48,4.4 and up,"Mature 17+Intense Violence, Blood, LanguageLearn more",In-Game Purchases,$1.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Ray Spark,"Eligible if bought after 7/2/2016.
Learn More"
DamonPS2 Pro PS2 Emulator PSP,DamonPS2 Emulator Studio,Action,"December 31, 2021",31.0,"100,000+",5.0Pre2,5.1 and up,EveryoneLearn more,,$0.99 - $10.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,DamonPS2 Emulator Studio,"Eligible if bought after 7/2/2016.
Learn More"
Heroes and Castles 2 - Strategy Action RPG,Foursaken Media,Action,"April 16, 2018",8.8,"100,000+",Varies with device,4.3 and up,"TeenViolence, BloodLearn more",Digital Purchases,$0.99 - $19.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Foursaken Media,Learn More
Gangstar Rio: City of Saints,Gameloft SE,Action,"July 31, 2019",Varies with device,"100,000+",1.2.2b,4.1 and up,"Mature 17+Intense Violence, Blood and Gore, Suggestive Themes, Drug Reference, LanguageLearn more","Users Interact, In-Game Purchases",$1.99 - $19.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Gameloft SE,"Eligible if bought after 7/2/2016.
Learn More"
Goat Simulator GoatZ,Coffee Stain Publishing,Action,"July 30, 2021",Varies with device,"100,000+",2.0.3,Varies with device,"TeenViolence, Blood, Crude HumorLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Coffee Stain Publishing,Learn More
Weaphones Firearms Simulator,OranginalPlan,Action,"September 17, 2019",30.0,"10,000+",Varies with device,Varies with device,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,OranginalPlan,"Eligible if bought after 7/2/2016.
Learn More"
Stickman Legends Offline Games,ZITGA,Action,"April 28, 2022",128.0,"10,000,000+",2.7.8,5.0 and up,"Everyone 10+Fantasy Violence, Mild BloodLearn more",In-Game Purchases,$0.99 - $129.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ZITGA,"Eligible if bought after 7/2/2016.
Learn More"
Oddworld: Stranger's Wrath,Oddworld Inhabitants Inc,Action,"May 15, 2015",Varies with device,"100,000+",1.0.13,4.0 and up,"Everyone 10+Fantasy Violence, Use of Tobacco, Comic MischiefLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Oddworld Inhabitants Inc,Learn More
Oddworld: New 'n' Tasty,Oddworld Inhabitants Inc,Action,"April 8, 2020",34.0,"50,000+",1.0.5,5.0 and up,"TeenBlood, Crude Humor, Language, Use of Tobacco, ViolenceLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Oddworld Inhabitants Inc,"Eligible if bought after 7/2/2016.
Learn More"
Survivalcraft,Candy Rufus Games,Action,"October 16, 2019",19.0,"500,000+",1.29.53.0,4.1 and up,"Everyone 10+Fantasy Violence, Comic MischiefLearn more",Users Interact,,View details,ReportFlag as inappropriate,Flag as inappropriate,Candy Rufus Games,"Eligible if bought after 7/2/2016.
Learn More"
Tasty Planet,Dingo Games,Action,"November 20, 2020",31.0,"10,000+",1.8.4.0,4.1 and up,Everyone 10+Fantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Dingo Games,"Eligible if bought after 7/2/2016.
Learn More"
Backrooms,SarangKoding,Action,"May 14, 2022",121.0,"10,000+",1.2.1,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,SarangKoding,"Eligible if bought after 7/2/2016.
Learn More"
PewDiePie: Legend of Brofist,Outerminds Inc.,Action,"October 7, 2019",70.0,"100,000+",1.4.3,4.1 and up,"TeenViolence, Blood, Crude HumorLearn more",Users Interact,,View details,ReportFlag as inappropriate,Flag as inappropriate,Outerminds Inc.,Learn More
Roblox,Roblox Corporation,Adventure,"May 19, 2022",156.0,"500,000,000+",2.527.372,5.0 and up,Everyone 10+Fantasy ViolenceLearn more,"Users Interact, In-Game Purchases (Includes Random Items)",$0.49 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Roblox Corporation,
Sonic Forces - Running Battle,SEGA,Adventure,"May 5, 2022",197.0,"50,000,000+",4.4.0,4.4 and up,EveryoneMild Fantasy ViolenceLearn more,"Users Interact, Digital Purchases",$0.99 - $149.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SEGA,
Let's Fly High,Hyperbox Games,Adventure,"May 21, 2022",52.0,"50,000+",1.4,4.4 and up,Everyone 10+Mild BloodLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Hyperbox Games,
Rec Room - Play with friends!,Rec Room,Adventure,"May 17, 2022",93.0,"10,000,000+",20220516,7.1 and up,Everyone 10+Fantasy ViolenceLearn more,"Users Interact, In-Game Purchases",$2.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rec Room,
Crafting and Building,GeneRe,Adventure,"May 18, 2022",278.0,"50,000,000+",2.4.18.31,5.1 and up,Everyone 10+Fantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,GeneRe,
PK XD - Play with your Friends,Afterverse Games,Adventure,"May 19, 2022",243.0,"100,000,000+",0.62.2,4.4 and up,Everyone 10+Crude HumorLearn more,In-Game Purchases,$0.99 - $104.90 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Afterverse Games,
Save the Bro!,"Brightika, Inc.",Adventure,"May 18, 2022",58.0,"100,000+",0.1.301,4.4 and up,Everyone 10+Fantasy ViolenceLearn more,In-Game Purchases,$3.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Brightika, Inc.",
Hello Neighbor,tinyBuild,Adventure,"October 18, 2021",61.0,"10,000,000+",1.0,6.0 and up,Everyone 10+Mild ViolenceLearn more,Digital Purchases,$0.99 - $14.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,tinyBuild,
Bob's World - Super Run Game,OneSoft Global PTE. LTD.,Adventure,"May 10, 2022",Varies with device,"100,000,000+",Varies with device,4.4 and up,"Everyone 10+Fantasy Violence, Mild BloodLearn more",,$0.99 - $9.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,OneSoft Global PTE. LTD.,
June's Journey: Hidden Objects,Wooga,Adventure,"May 11, 2022",Varies with device,"10,000,000+",2.57.1,4.4 and up,"TeenViolence, BloodLearn more",Digital Purchases,$0.99 - $129.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Wooga,
House Designer : Fix & Flip,Karate Goose Studio,Adventure,"April 28, 2022",95.0,"50,000,000+",1.100,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $69.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Karate Goose Studio,
Let's Play a Game,MOONEE PUBLISHING LTD,Adventure,"October 6, 2021",Varies with device,"100,000+",1.0.3,4.4 and up,TeenMild ViolenceLearn more,,$1.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,MOONEE PUBLISHING LTD,
Rescue The Lover,ABI Global LTD,Adventure,"April 29, 2022",66.0,"10,000,000+",1.22,4.4 and up,EveryoneMild ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,ABI Global LTD,
Superhero Racing: Car Games,GameFit,Adventure,"May 17, 2022",91.0,"10,000,000+",2.41,5.0 and up,EveryoneLearn more,In-Game Purchases,$9.99 - $139.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,GameFit,
Jurassic World Alive,Ludia Inc.,Adventure,"April 19, 2022",558.0,"10,000,000+",2.15.23,5.1 and up,"TeenViolence, BloodLearn more","Users Interact, Shares Location, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Ludia Inc.,
RealmCraft 3D Mine Block World,Tellurion Mobile,Adventure,"April 26, 2022",112.0,"100,000,000+",5.3.11,4.4 and up,TeenLearn more,"Users Interact, Shares Location, In-Game Purchases",$0.99 - $48.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Tellurion Mobile,
Crushy Fingers: Relaxing Games,CASUAL AZUR GAMES,Adventure,"October 19, 2021",59.0,"1,000,000+",1.2,5.0 and up,"TeenViolence, BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,CASUAL AZUR GAMES,
Super Bino Go:Adventure Jungle,OneSoft Global PTE. LTD.,Adventure,"March 30, 2022",17.0,"100,000,000+",2.0.6,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,,$0.99 - $10.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,OneSoft Global PTE. LTD.,
[3D Platformer] Super Bear Adventure,Earthkwak Games,Adventure,"September 15, 2021",84.0,"10,000,000+",1.9.9.1,4.4 and up,EveryoneMild Fantasy ViolenceLearn more,In-Game Purchases,$1.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Earthkwak Games,
Monsters Master: Catch & Fight,CASUAL AZUR GAMES,Adventure,"May 6, 2022",84.0,"1,000,000+",1.0.24,5.1 and up,"TeenViolence, BloodLearn more",,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,CASUAL AZUR GAMES,
Death Incoming!,Lion Studios,Adventure,"April 9, 2022",96.0,"10,000,000+",1.9.3,5.0 and up,"TeenViolence, BloodLearn more",,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Lion Studios,
Extreme Balancer 3,Enteriosoft,Adventure,"November 12, 2021",46.0,"10,000,000+",72.1,4.4 and up,EveryoneLearn more,In-Game Purchases,$1.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Enteriosoft,
Bermuda Adventures Farm Island,BELKA GAMES,Adventure,"May 13, 2022",192.0,"5,000,000+",1.4.1,5.0 and up,TeenLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,BELKA GAMES,
Slink.io - Snake Game,Apps2US Studios,Adventure,"April 30, 2022",Varies with device,"50,000,000+",Varies with device,5.0 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Apps2US Studios,
Planet Craft: Mine Block Craft,"Playlabs, LLC",Adventure,"February 18, 2022",193.0,"10,000,000+",5.2.3,5.0 and up,EveryoneLearn more,Users Interact,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Playlabs, LLC",
Shark Robot Car Transform Game,Centaurus Games,Adventure,"May 10, 2022",122.0,"10,000,000+",66,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,In-Game Purchases,$12.99 - $154.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Centaurus Games,
LEGO® Star Wars™: TFA,Warner Bros. International Enterprises,Adventure,"November 24, 2021",10.0,"10,000,000+",2.0.1.27,5.0 and up,"Everyone 10+Fantasy Violence, Crude HumorLearn more",In-Game Purchases,$0.99 - $6.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Warner Bros. International Enterprises,
